Station_id;Sum_of_precipitaiton;Altitude
216;322.7;298
389;335.8;436
390;378.5;610
613;395.1;206
644;387.6;150
796;417.2;412
934;384.4;88
1300;412.1;351
2483;501.6;839
2947;294.7;286
3028;379.7;157
3031;370.9;92
3098;336.8;387
3215;291.7;375
3499;388.5;292
4127;360.8;347
4313;374.8;370
4368;345;93
4400;373.1;171
4488;374.2;443
4692;327.2;229
5347;371.1;236
5360;448.6;331
5468;346.5;418
5480;285.4;85
5619;341.6;360
5699;335.8;312
6264;389.9;457
6276;337.3;235
7330;418.3;159
6313;387;440
13700;357.1;205
13713;402.4;386
